x y vx vy charge mass
12.5 -9.5 0 0 -0.05 1
12.5 9.5 0 0 0.05 1
-13.5 -0.5 0 0 -0.05 1
-13.5 0.5 0 0 0.05 1
13.5 -0.5 0 0 -0.05 1
13.5 0.5 0 0 0.05 1
-13.5 -1.5 0 0 -0.05 1
-13.5 1.5 0 0 0.05 1
13.5 -1.5 0 0 -0.05 1
13.5 1.5 0 0 0.05 1
-13.5 -2.5 0 0 -0.05 1
-13.5 2.5 0 0 0.05 1
13.5 -2.5 0 0 -0.05 1
13.5 2.5 0 0 0.05 1
-13.5 -3.5 0 0 -0.05 1
-13.5 3.5 0 0 0.05 1
13.5 -3.5 0 0 -0.05 1
13.5 3.5 0 0 0.05 1
-13.5 -4.5 0 0 -0.05 1
-13.5 4.5 0 0 0.05 1
13.5 -4.5 0 0 -0.05 1
13.5 4.5 0 0 0.05 1
-13.5 -5.5 0 0 -0.05 1
-13.5 5.5 0 0 0.05 1
13.5 -5.5 0 0 -0.05 1
13.5 5.5 0 0 0.05 1
-13.5 -6.5 0 0 -0.05 1
-13.5 6.5 0 0 0.05 1
13.5 -6.5 0 0 -0.05 1
13.5 6.5 0 0 0.05 1
-13.5 -7.5 0 0 -0.05 1
-13.5 7.5 0 0 0.05 1
13.5 -7.5 0 0 -0.05 1
13.5 7.5 0 0 0.05 1
-13.5 -8.5 0 0 -0.05 1
-13.5 8.5 0 0 0.05 1
13.5 -8.5 0 0 -0.05 1
13.5 8.5 0 0 0.05 1
-13.5 -9.5 0 0 -0.05 1
-13.5 9.5 0 0 0.05 1
13.5 -9.5 0 0 -0.05 1
13.5 9.5 0 0 0.05 1
-14.5 -0.5 0 0 -0.05 1
-14.5 0.5 0 0 0.05 1
14.5 -0.5 0 0 -0.05 1
14.5 0.5 0 0 0.05 1
-14.5 -1.5 0 0 -0.05 1
-14.5 1.5 0 0 0.05 1
14.5 -1.5 0 0 -0.05 1
14.5 1.5 0 0 0.05 1
-14.5 -2.5 0 0 -0.05 1
-14.5 2.5 0 0 0.05 1
14.5 -2.5 0 0 -0.05 1
14.5 2.5 0 0 0.05 1
-14.5 -3.5 0 0 -0.05 1
-14.5 3.5 0 0 0.05 1
14.5 -3.5 0 0 -0.05 1
14.5 3.5 0 0 0.05 1
-14.5 -4.5 0 0 -0.05 1
-14.5 4.5 0 0 0.05 1
14.5 -4.5 0 0 -0.05 1
14.5 4.5 0 0 0.05 1
-14.5 -5.5 0 0 -0.05 1
-14.5 5.5 0 0 0.05 1
14.5 -5.5 0 0 -0.05 1
14.5 5.5 0 0 0.05 1
-14.5 -6.5 0 0 -0.05 1
-14.5 6.5 0 0 0.05 1
14.5 -6.5 0 0 -0.05 1
14.5 6.5 0 0 0.05 1
-14.5 -7.5 0 0 -0.05 1
-14.5 7.5 0 0 0.05 1
14.5 -7.5 0 0 -0.05 1
14.5 7.5 0 0 0.05 1
-14.5 -8.5 0 0 -0.05 1
-14.5 8.5 0 0 0.05 1
14.5 -8.5 0 0 -0.05 1
14.5 8.5 0 0 0.05 1
-14.5 -9.5 0 0 -0.05 1
-14.5 9.5 0 0 0.05 1
14.5 -9.5 0 0 -0.05 1
14.5 9.5 0 0 0.05 1
-15.5 -0.5 0 0 -0.05 1
-15.5 0.5 0 0 0.05 1
15.5 -0.5 0 0 -0.05 1
15.5 0.5 0 0 0.05 1
-15.5 -1.5 0 0 -0.05 1
-15.5 1.5 0 0 0.05 1
15.5 -1.5 0 0 -0.05 1
15.5 1.5 0 0 0.05 1
-15.5 -2.5 0 0 -0.05 1
-15.5 2.5 0 0 0.05 1
15.5 -2.5 0 0 -0.05 1
15.5 2.5 0 0 0.05 1
-15.5 -3.5 0 0 -0.05 1
-15.5 3.5 0 0 0.05 1
15.5 -3.5 0 0 -0.05 1
15.5 3.5 0 0 0.05 1
-15.5 -4.5 0 0 -0.05 1
-15.5 4.5 0 0 0.05 1
15.5 -4.5 0 0 -0.05 1
15.5 4.5 0 0 0.05 1
-15.5 -5.5 0 0 -0.05 1
-15.5 5.5 0 0 0.05 1
15.5 -5.5 0 0 -0.05 1
15.5 5.5 0 0 0.05 1
-15.5 -6.5 0 0 -0.05 1
-15.5 6.5 0 0 0.05 1
15.5 -6.5 0 0 -0.05 1
15.5 6.5 0 0 0.05 1
-15.5 -7.5 0 0 -0.05 1
-15.5 7.5 0 0 0.05 1
15.5 -7.5 0 0 -0.05 1
15.5 7.5 0 0 0.05 1
-15.5 -8.5 0 0 -0.05 1
-15.5 8.5 0 0 0.05 1
15.5 -8.5 0 0 -0.05 1
15.5 8.5 0 0 0.05 1
-15.5 -9.5 0 0 -0.05 1
-15.5 9.5 0 0 0.05 1
15.5 -9.5 0 0 -0.05 1
15.5 9.5 0 0 0.05 1
-16.5 -0.5 0 0 -0.05 1
-16.5 0.5 0 0 0.05 1
16.5 -0.5 0 0 -0.05 1
16.5 0.5 0 0 0.05 1
-16.5 -1.5 0 0 -0.05 1
-16.5 1.5 0 0 0.05 1
16.5 -1.5 0 0 -0.05 1
16.5 1.5 0 0 0.05 1
-16.5 -2.5 0 0 -0.05 1
-16.5 2.5 0 0 0.05 1
16.5 -2.5 0 0 -0.05 1
16.5 2.5 0 0 0.05 1
-16.5 -3.5 0 0 -0.05 1
-16.5 3.5 0 0 0.05 1
16.5 -3.5 0 0 -0.05 1
16.5 3.5 0 0 0.05 1
-16.5 -4.5 0 0 -0.05 1
-16.5 4.5 0 0 0.05 1
16.5 -4.5 0 0 -0.05 1
16.5 4.5 0 0 0.05 1
-16.5 -5.5 0 0 -0.05 1
-16.5 5.5 0 0 0.05 1
16.5 -5.5 0 0 -0.05 1
16.5 5.5 0 0 0.05 1
-16.5 -6.5 0 0 -0.05 1
-16.5 6.5 0 0 0.05 1
16.5 -6.5 0 0 -0.05 1
16.5 6.5 0 0 0.05 1
-16.5 -7.5 0 0 -0.05 1
-16.5 7.5 0 0 0.05 1
16.5 -7.5 0 0 -0.05 1
16.5 7.5 0 0 0.05 1
